frequency_Hz,I_mJy,Q_mJy,U_mJy,dI_mJy,dQ_mJy,dU_mJy
2308000000.0,0.294127,-0.0809,0.011081,0.005257,0.001522,0.001551
2324000000.0,0.2906,-0.081376,0.010601,0.005806,0.001808,0.001535
2340000000.0,0.293426,-0.081539,0.007795,0.005133,0.001488,0.001406
2356000000.0,0.292945,-0.081037,0.011297,0.005443,0.001791,0.001637
2372000000.0,0.290543,-0.07898,0.011508,0.004756,0.001611,0.001339
2388000000.0,0.288443,-0.080063,0.013874,0.004758,0.001488,0.001519
2404000000.0,0.286081,-0.079841,0.011222,0.004966,0.001725,0.001297
2420000000.0,0.290675,-0.080558,0.012794,0.003326,0.001554,0.001186
2436000000.0,0.284688,-0.08299,0.013267,0.004872,0.001833,0.001316
2452000000.0,0.281338,-0.080492,0.011922,0.004545,0.001892,0.001472
2468000000.0,0.279318,-0.08085,0.010006,0.004766,0.001536,0.001405
2484000000.0,0.279683,-0.079796,0.012213,0.004465,0.001457,0.001385
2500000000.0,0.277379,-0.073931,0.009356,0.004467,0.002008,0.001834
2516000000.0,0.279797,-0.08019,0.01036,0.004229,0.001632,0.001477
2532000000.0,0.281355,-0.078344,0.008929,0.004006,0.001582,0.001634
2548000000.0,0.276914,-0.076047,0.01089,0.004232,0.001464,0.001265
2564000000.0,0.27725,-0.078201,0.012124,0.004409,0.001438,0.001546
2580000000.0,0.279731,-0.080484,0.010588,0.0043,0.001635,0.001638
2596000000.0,0.273821,-0.080011,0.008343,0.00489,0.001424,0.001503
2612000000.0,0.27664,-0.077451,0.00887,0.004268,0.001253,0.001826
2628000000.0,0.268003,-0.075777,0.010666,0.00429,0.001552,0.001774
2644000000.0,0.271153,-0.079662,0.009792,0.004329,0.001794,0.001772
2660000000.0,0.26824,-0.082849,0.009071,0.004218,0.00169,0.001802
2676000000.0,0.269894,-0.077634,0.009882,0.004728,0.001462,0.001823
2692000000.0,0.268115,-0.078984,0.010642,0.004274,0.001307,0.001693
2708000000.0,0.266199,-0.079978,0.010276,0.003966,0.001409,0.001311
2724000000.0,0.260253,-0.076252,0.01025,0.004483,0.001367,0.00138
2740000000.0,0.258883,-0.077018,0.006911,0.004456,0.001551,0.001548
2756000000.0,0.260072,-0.075921,0.009308,0.004192,0.001159,0.001558
2772000000.0,0.256318,-0.078886,0.011675,0.004682,0.001644,0.001596
2788000000.0,0.259416,-0.07977,0.012979,0.004363,0.001266,0.001253
2804000000.0,0.255216,-0.078584,0.009719,0.003708,0.001483,0.001631
2820000000.0,0.254728,-0.078483,0.008404,0.003965,0.001482,0.001327
2836000000.0,0.252283,-0.076513,0.012997,0.004133,0.001629,0.001502
2852000000.0,0.251922,-0.076583,0.011923,0.004153,0.001613,0.001691
2868000000.0,0.248217,-0.076464,0.01169,0.003997,0.001363,0.001604
2884000000.0,0.246896,-0.07529,0.01008,0.003803,0.001814,0.001757
2900000000.0,0.253925,-0.075919,0.013044,0.004203,0.001761,0.002024
2916000000.0,0.247411,-0.078646,0.013805,0.00568,0.002727,0.002871
4700000000.0,0.194444,-0.062728,0.005042,0.001955,0.001161,0.001375
4716000000.0,0.193421,-0.061569,0.003479,0.00182,0.001073,0.001197
4732000000.0,0.194734,-0.062501,0.004692,0.001934,0.001145,0.001468
4748000000.0,0.193142,-0.060616,0.005276,0.001818,0.001183,0.001267
4764000000.0,0.19218,-0.06231,0.004014,0.001937,0.001379,0.001437
4780000000.0,0.193214,-0.062654,0.00367,0.001738,0.001276,0.001245
4796000000.0,0.193277,-0.062332,0.004374,0.001923,0.001343,0.001333
4812000000.0,0.192166,-0.063707,0.005032,0.001976,0.001122,0.001498
4828000000.0,0.190399,-0.061455,0.004354,0.00201,0.001356,0.001498
4844000000.0,0.190395,-0.062771,0.005271,0.00203,0.001146,0.001494
