Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G046.4213-01.0641,046.42131,-01.06411,290.06248,+11.48430,00.14,00.14,00002.68,00000.36,00002.68,00000.56,01.500,00.122,,01.500,00.174,01.500,00.172,01.548,90.000,00.27,0.004,0007.9,G,0,1,0,0,0,0,0,0,0
G046.4229-01.0613,046.42291,-01.06133,290.06092,+11.48693,00.65,00.65,00012.43,00001.12,00024.23,00002.97,02.691,00.025,02.2,,,,,,,00.27,-0.007,0044.8,P,0,1,0,0,0,0,0,0,0
G046.4465-00.6869,046.44651,-00.68689,289.73438,+11.68335,00.10,00.10,00019.01,00001.75,00022.11,00002.14,01.618,00.035,,01.716,00.054,01.526,00.045,106.547,07.534,00.39,0.004,0047.1,G,0,0,0,0,0,0,0,0,1
G047.3550+00.6729,047.35502,+00.67291,288.93741,+13.12160,00.11,00.11,00009.36,00000.95,00011.58,00001.41,01.668,00.066,,01.854,00.112,01.500,00.077,42.979,08.959,00.43,-0.015,0020.2,G,0,1,0,0,0,0,0,0,0
G047.3563+00.6732,047.35632,+00.67325,288.93773,+13.12291,00.11,00.12,00008.56,00000.89,00010.39,00001.32,01.652,00.071,,01.820,00.118,01.500,00.083,31.162,10.789,00.44,-0.006,0018.7,G,0,1,0,0,0,0,0,0,0
G047.4578+00.9897,047.45776,+00.98972,288.69837,+13.35988,00.10,00.10,00013.56,00001.27,00017.20,00001.73,01.689,00.043,,01.822,00.068,01.566,00.053,134.049,07.351,00.37,0.009,0035.7,G,0,0,0,0,0,0,0,0,0
G047.4665-00.2859,047.46648,-00.28590,289.86073,+12.77229,00.11,00.11,00008.80,00000.89,00009.31,00001.15,01.543,00.060,,01.587,00.089,01.500,00.082,94.497,44.622,00.42,-0.015,0020.2,G,0,0,0,0,0,0,0,0,1
G047.4709+00.9977,047.47087,+00.99767,288.69740,+13.37518,00.10,00.10,00012.42,00001.16,00015.09,00001.52,01.654,00.042,,01.661,00.059,01.647,00.058,98.857,90.000,00.34,-0.001,0035.4,G,0,0,0,0,0,0,0,0,0
G047.6883-00.1727,047.68831,-00.17267,289.86478,+13.02131,00.10,00.10,00018.00,00001.66,00021.25,00002.07,01.630,00.036,,01.641,00.052,01.619,00.051,43.350,73.609,00.40,0.001,0045.4,G,0,0,0,0,0,0,0,0,0
G047.7094-00.0944,047.70940,-00.09438,289.80394,+13.07663,00.24,00.19,00003.69,00000.55,00008.89,00001.70,02.330,00.221,01.8,02.663,00.383,02.038,00.252,74.621,18.216,00.40,0.007,0009.4,G,0,0,0,0,0,0,0,0,0
