Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G021.6657+00.8110,021.66567,+00.81095,276.94019,-09.63694,00.10,00.10,00041.82,00003.74,00052.92,00004.76,01.687,00.026,,01.735,00.038,01.641,00.035,107.686,05.810,00.33,0.004,0126.7,G,0,0,0,0,0,0,0,0,0
G021.6849-00.7381,021.68487,-00.73814,278.34329,-10.33735,00.73,00.71,00003.72,00000.38,00036.49,00006.02,04.899,00.046,04.7,,,,,,,00.34,-0.024,0009.9,P,0,0,0,0,0,0,0,0,0
G021.8201-00.4779,021.82009,-00.47787,278.17210,-10.09726,00.19,00.17,00005.42,00000.59,00034.20,00003.93,03.768,00.184,03.5,04.025,00.283,03.527,00.240,77.197,19.870,00.35,-0.002,0014.8,G,0,0,0,0,0,0,0,0,0
G021.9972-00.8838,021.99717,-00.88375,278.62087,-10.12729,00.12,00.12,00007.73,00000.79,00014.22,00001.65,02.034,00.081,01.4,02.151,00.125,01.923,00.105,139.077,18.311,00.35,0.001,0020.8,G,0,0,0,0,0,0,0,0,0
G022.2211+00.9009,022.22111,+00.90093,277.12099,-09.10336,00.13,00.13,00007.92,00000.81,00021.38,00002.39,02.465,00.098,02.0,02.488,00.140,02.442,00.136,44.400,90.000,00.35,0.012,0021.8,G,0,0,0,0,0,0,0,0,0
G022.5477-00.1061,022.54772,-00.10612,278.17838,-09.28020,00.10,00.10,00017.90,00001.64,00032.09,00003.03,02.008,00.042,01.3,02.099,00.064,01.921,00.056,20.492,09.801,00.35,-0.004,0051.5,G,0,0,0,0,0,0,0,0,0
G022.6429-00.4422,022.64290,-00.44220,278.52504,-09.35078,00.14,00.19,00003.94,00000.53,00006.30,00001.16,01.898,00.152,01.2,02.202,00.275,01.636,00.164,00.527,13.217,00.36,0.004,0010.6,G,0,0,0,0,0,0,0,0,0
G022.6580+00.2959,022.65800,+00.29587,277.86893,-08.99663,00.10,00.10,00011.32,00001.06,00014.15,00001.42,01.677,00.042,,01.765,00.064,01.593,00.054,97.825,10.785,00.31,-0.004,0035.1,G,0,0,0,0,0,0,0,0,0
G023.2321+00.0809,023.23208,+00.08092,278.33016,-08.58677,00.10,00.11,00011.93,00001.12,00024.01,00002.37,02.128,00.055,01.5,02.386,00.091,01.898,00.065,01.771,04.913,00.33,-0.011,0034.8,G,0,0,0,0,1,0,0,0,0
G023.4181-00.3940,023.41810,-00.39403,278.84319,-08.64051,00.10,00.10,00018.95,00001.72,00026.46,00002.47,01.772,00.034,,01.799,00.049,01.746,00.047,62.501,24.730,00.33,-0.001,0054.9,G,0,0,0,0,0,0,0,0,0
