Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G048.8229+00.5618,048.82285,+00.56184,289.74394,+14.36775,00.15,00.15,00002.04,00000.29,00002.04,00000.46,01.500,00.134,,01.500,00.192,01.500,00.188,111.092,90.000,00.23,-0.003,0009.1,G,0,0,0,0,0,0,0,0,0
G048.9265+00.4764,048.92650,+00.47640,289.87200,+14.41929,00.12,00.11,00004.89,00000.52,00005.81,00000.77,01.635,00.074,,01.700,00.113,01.573,00.098,95.840,30.638,00.26,0.001,0017.8,G,0,0,0,0,0,0,0,0,0
G049.0667-00.4089,049.06670,-00.40889,290.74618,+14.12660,00.17,00.15,00005.68,00000.69,00013.38,00001.97,02.303,00.150,01.7,02.513,00.243,02.110,00.185,117.157,19.661,00.47,-0.034,0013.3,G,0,1,0,1,1,0,0,1,0
G049.0673-00.4094,049.06730,-00.40943,290.74696,+14.12688,00.28,00.27,00003.27,00000.54,00010.15,00002.10,02.643,00.298,02.2,02.832,00.466,02.467,00.380,127.638,44.721,00.45,-0.032,0008.7,G,0,1,0,0,1,0,0,1,0
G049.1976+00.7938,049.19765,+00.79380,289.71342,+14.80750,00.13,00.15,00003.37,00000.41,00004.38,00000.74,01.711,00.115,,01.951,00.205,01.500,00.127,27.468,12.500,00.27,0.003,0011.2,G,0,0,0,0,0,0,0,0,0
G050.0537-01.1007,050.05366,-01.10070,291.85817,+14.66739,00.12,00.12,00003.83,00000.44,00003.83,00000.62,01.500,00.087,,01.500,00.124,01.500,00.123,88.136,90.000,00.30,-0.004,0011.7,G,0,0,0,0,0,0,0,0,0
G050.1704-00.5746,050.17038,-00.57461,291.43685,+15.02029,00.11,00.10,00007.47,00000.71,00007.47,00000.80,01.500,00.043,,01.500,00.063,01.500,00.060,60.431,42.192,00.25,0.004,0027.2,G,0,0,0,0,0,0,0,0,0
G050.2114-00.8858,050.21142,-00.88581,291.74043,+14.90844,00.13,00.14,00002.80,00000.36,00002.80,00000.53,01.500,00.110,,01.500,00.162,01.500,00.150,149.251,90.000,00.26,-0.003,0010.0,G,0,0,0,0,0,0,0,0,0
G050.6256-00.0309,050.62557,-00.03095,291.16440,+15.67888,00.10,00.10,00701.80,00062.46,00701.80,00062.46,01.500,00.021,,01.500,00.030,01.500,00.030,95.793,02.614,00.29,0.013,2372.7,G,0,0,0,0,1,0,0,0,0
G050.6803-00.3397,050.68027,-00.33965,291.47354,+15.58058,00.16,00.16,00002.11,00000.32,00002.11,00000.52,01.500,00.147,,01.500,00.207,01.500,00.207,03.905,90.000,00.25,0.004,0008.5,G,0,0,0,0,0,0,0,0,0
G051.0505-00.6427,051.05052,-00.64274,291.93342,+15.76190,00.10,00.10,00010.95,00001.01,00010.95,00001.07,01.500,00.033,,01.500,00.048,01.500,00.046,96.874,29.544,00.25,0.011,0041.9,G,0,0,0,0,0,0,0,0,0
G051.2984-01.0802,051.29840,-01.08015,292.45574,+15.77046,00.10,00.10,00008.75,00000.82,00009.76,00001.00,01.584,00.041,,01.600,00.058,01.568,00.056,30.959,59.638,00.25,0.003,0034.2,G,0,0,0,0,0,0,0,0,0
G051.5482-00.5100,051.54816,-00.51000,292.05916,+16.26254,00.21,00.33,00001.79,00000.33,00003.55,00000.94,02.112,00.285,01.5,02.525,00.536,01.767,00.296,171.407,18.453,00.26,-0.000,0007.2,G,0,0,0,0,0,0,0,0,0
G052.1695+00.8756,052.16949,+00.87556,291.09415,+17.46794,00.11,00.12,00005.22,00000.53,00007.22,00000.86,01.765,00.069,,01.926,00.114,01.618,00.084,35.541,11.126,00.24,0.005,0022.1,G,0,0,0,0,0,0,0,0,0
G053.2827+00.1171,053.28267,+00.11709,292.35114,+18.08569,00.17,00.14,00002.87,00000.38,00003.84,00000.71,01.737,00.134,,02.012,00.245,01.500,00.143,115.062,12.696,00.26,0.005,0009.4,G,0,0,0,0,0,0,0,0,0
G053.5879+01.0393,053.58786,+01.03927,291.65048,+18.79403,00.12,00.12,00004.36,00000.49,00004.36,00000.65,01.500,00.080,,01.500,00.117,01.500,00.110,73.501,90.000,00.29,-0.002,0015.5,G,0,0,0,0,0,0,0,0,0
G053.6860+00.8403,053.68597,+00.84029,291.88463,+18.78554,00.10,00.10,00054.98,00004.90,00054.98,00004.91,01.500,00.022,,01.500,00.031,01.500,00.031,89.021,32.397,00.21,0.009,0243.8,G,0,0,0,0,1,0,0,0,0
G053.6962+00.8583,053.69619,+00.85828,291.87308,+18.80310,00.18,00.18,00001.70,00000.28,00001.70,00000.48,01.500,00.178,,01.500,00.262,01.500,00.241,24.248,90.000,00.24,-0.007,0007.0,G,0,0,0,0,1,0,0,0,0
G053.9217+00.1304,053.92166,+00.13040,292.66185,+18.65273,00.15,00.15,00002.61,00000.36,00002.97,00000.62,01.601,00.136,,01.709,00.218,01.500,00.170,45.195,34.461,00.27,-0.003,0009.0,G,0,0,0,0,0,0,0,0,0
G054.0630-01.0334,054.06296,-01.03339,293.80779,+18.21399,00.10,00.10,00014.91,00001.36,00015.42,00001.49,01.525,00.032,,01.551,00.046,01.500,00.045,125.719,65.698,00.32,0.001,0045.4,G,0,0,0,0,0,0,0,0,0
G054.3980-00.3748,054.39800,-00.37485,293.37182,+18.82637,00.13,00.13,00003.20,00000.39,00003.20,00000.56,01.500,00.101,,01.500,00.152,01.500,00.136,72.339,61.571,00.26,0.001,0011.6,G,0,0,0,0,0,0,0,0,0
