Name,l_deg,b_deg
G030.7661-00.0348,30.76614,-0.0348
G030.8662+00.1143,30.8662,0.11429
G030.9581+00.0869,30.95809,0.08686
G031.0495+00.4697,31.04949,0.46972
G031.0595+00.0922,31.05953,0.09221
G031.0709+00.0508,31.07086,0.05084
G031.1590+00.0465,31.15896,0.04647
G031.1596+00.0448,31.15958,0.04475
G031.2420-00.1106,31.24202,-0.11062
G031.2435-00.1103,31.24347,-0.11034
G031.2448-00.1132,31.24476,-0.11324
G031.2801+00.0632,31.28008,0.06322
G031.3959-00.2570,31.39586,-0.25697
G031.4130+00.3065,31.413,0.30647
G031.5815+00.0744,31.58148,0.07443
G032.0297+00.0491,32.02967,0.04905
G032.1502+00.1329,32.15017,0.13287
G032.2730-00.2258,32.27298,-0.2258
G032.4727+00.2036,32.47274,0.20361
G032.7398+00.1940,32.73977,0.19396
G032.7441-00.0755,32.74408,-0.07553
G032.7492-00.0643,32.7492,-0.06427
G032.7966+00.1909,32.79658,0.19091
G032.7982+00.1937,32.79822,0.1937
G032.9273+00.6060,32.92726,0.60601
G032.9906+00.0385,32.99057,0.03852
G033.1328-00.0923,33.13277,-0.09228
G033.1419-00.0853,33.14188,-0.08531
G033.4163-00.0036,33.41627,-0.00358
G033.8100-00.1864,33.80997,-0.18643
G033.8113-00.1893,33.81127,-0.18932
G033.9145+00.1105,33.9145,0.11045
G034.0901+00.4365,34.09005,0.43652
G034.1324+00.4700,34.13236,0.46999
G034.1978-00.5912,34.19784,-0.59116
G034.2544+00.1460,34.25437,0.14597
G034.2571+00.1466,34.25712,0.14658
G034.2572+00.1535,34.25724,0.15352
G034.2573+00.1523,34.25725,0.15235
G034.2581+00.1533,34.25811,0.1533
G034.4032+00.2277,34.4032,0.22771
G034.5920+00.2434,34.59203,0.24337
G035.0242+00.3502,35.02419,0.3502
G035.0524-00.5177,35.0524,-0.51773
G035.1378-00.7622,35.13777,-0.76224
G035.4570-00.1791,35.45704,-0.17913
G035.4669+00.1394,35.46693,0.13942
G035.5734+00.0679,35.5734,0.06787
G035.5781-00.0305,35.57813,-0.03048
G036.4057+00.0226,36.40568,0.02256
G036.4062+00.0221,36.40623,0.02206
G037.5457-00.1120,37.54572,-0.11199
G037.7347-00.1128,37.73473,-0.11277
G037.7562+00.5605,37.75624,0.56054
G037.7633-00.2167,37.76327,-0.21667
G037.8197+00.4140,37.81975,0.41404
G037.8209+00.4125,37.82092,0.41249
G037.8683-00.6008,37.86832,-0.60079
G037.8731-00.3996,37.87308,-0.39961
G037.9723-00.0965,37.97232,-0.09653
G038.5493+00.1646,38.54934,0.16462
G038.6465-00.2260,38.64647,-0.22602
G038.6529+00.0875,38.65286,0.08749
G038.6934-00.4524,38.69335,-0.45241
G038.8756+00.3080,38.87564,0.308
G039.1956+00.2255,39.19557,0.22546
G039.2450-00.0673,39.245,-0.06731
G039.7277-00.3973,39.72773,-0.39732
G039.8824-00.3460,39.88236,-0.34602
G040.4251+00.7002,40.42512,0.70017
G041.7419+00.0973,41.7419,0.09733
G042.1090-00.4469,42.10901,-0.44691
G042.4332-00.2589,42.43316,-0.25895
G042.4345-00.2605,42.43453,-0.26049
G043.1460+00.0139,43.14596,0.01389
G043.1489+00.0130,43.14894,0.01305
G043.1520+00.0115,43.152,0.01149
G043.1625+00.0048,43.16251,0.00484
G043.1651-00.0283,43.1651,-0.02828
G043.1652+00.0129,43.16517,0.0129
G043.1657+00.0116,43.16574,0.01164
G043.1665+00.0106,43.16648,0.01057
G043.1674+00.0128,43.16737,0.01282
G043.1677+00.0196,43.16771,0.01957
